"rank","customer_name","total_revenue"
"97","Customer 1801","168437.21"
"98","Customer 7871","168380.02"
"99","Customer 5629","168336.19"
"100","Customer 8512","168072.49"
"101","Customer 4761","167936.01"
"102","Customer 7212","167451.60"
"103","Customer 1655","167152.93"
"104","Customer 4840","167004.07"
"105","Customer 8956","166850.10"
"106","Customer 5824","166759.62"
"107","Customer 2985","166706.98"
"108","Customer 8022","166429.61"
"109","Customer 2223","166089.50"
"110","Customer 4335","165135.90"
"111","Customer 107","165084.80"
"112","Customer 7313","164923.02"
"113","Customer 8500","164787.75"
"114","Customer 7951","164634.13"
"115","Customer 1339","164480.86"
"116","Customer 3802","164414.69"
"117","Customer 5773","164399.59"
"118","Customer 4011","164088.46"
"119","Customer 1059","163947.40"
"120","Customer 2501","163896.27"
"121","Customer 7020","163885.59"
"122","Customer 5468","163711.14"
"123","Customer 6163","163483.23"
"124","Customer 9151","163236.67"
"125","Customer 7656","163137.34"
"126","Customer 1235","162774.26"
"127","Customer 979","162572.62"
"128","Customer 3335","162433.16"
"129","Customer 1312","162279.95"
"130","Customer 1469","162143.92"
"131","Customer 403","161845.62"
"132","Customer 5942","161733.14"
"133","Customer 2570","161725.01"
"134","Customer 2824","161718.61"
"135","Customer 8929","161703.05"
"136","Customer 7957","161636.73"
"137","Customer 7123","161634.89"
"138","Customer 7291","161125.50"
"139","Customer 6064","161017.75"
"140","Customer 830","160962.82"
"141","Customer 8898","160541.87"
"142","Customer 4669","160539.95"
"143","Customer 5230","160526.20"
"144","Customer 6142","160363.61"
"145","Customer 7761","160330.93"
"146","Customer 3205","160250.76"
"147","Customer 7197","160189.39"
"148","Customer 4277","160173.57"
"149","Customer 2750","159914.64"
"150","Customer 4586","159847.74"
"151","Customer 1750","159744.68"
"152","Customer 9133","159467.24"
"153","Customer 8213","159137.17"
"154","Customer 513","159001.42"
"155","Customer 6159","158888.50"
"156","Customer 4520","158845.00"
"157","Customer 8148","158733.34"
"158","Customer 1621","158729.13"
"159","Customer 604","158688.37"
"160","Customer 4028","158389.79"
"161","Customer 759","158282.25"
"162","Customer 6284","158200.14"
"163","Customer 5616","158169.13"
"164","Customer 3361","158081.15"
"165","Customer 8594","157922.83"
"166","Customer 3759","157858.00"
"167","Customer 2568","157823.70"
"168","Customer 7571","157642.31"
"169","Customer 139","157621.75"
"170","Customer 7825","157619.81"
"171","Customer 9814","157550.30"
"172","Customer 4204","157548.39"
"173","Customer 228","157203.75"
"174","Customer 1140","157200.09"
"175","Customer 8371","157083.44"
"176","Customer 8796","156816.95"
"177","Customer 2898","156709.82"
"178","Customer 8361","156632.87"
"179","Customer 7314","156427.82"
"180","Customer 5887","156253.55"
"181","Customer 5061","156242.45"
"182","Customer 2700","156150.18"
"183","Customer 4434","155990.62"
"184","Customer 1193","155820.20"
"185","Customer 9708","155777.10"
"186","Customer 4238","155637.30"
"187","Customer 7477","155536.17"
"188","Customer 2165","155497.01"
"189","Customer 5126","155488.44"
"190","Customer 341","155361.24"
"191","Customer 9801","155289.04"
"192","Customer 9786","155213.34"
"193","Customer 5802","154903.32"
"194","Customer 8044","154870.44"
"195","Customer 3885","154649.41"
"196","Customer 9172","154594.12"
"197","Customer 902","154526.74"
"198","Customer 8874","154472.22"
"199","Customer 4247","154305.44"
"200","Customer 2861","154234.05"
"201","Customer 8645","154231.40"
"202","Customer 3825","154214.60"
"203","Customer 828","154134.41"
"204","Customer 594","154042.33"
"205","Customer 6521","153951.54"
"206","Customer 1933","153906.29"
"207","Customer 4268","153721.55"
"208","Customer 5894","153615.07"
"209","Customer 2677","153614.36"
"210","Customer 8470","153525.86"
"211","Customer 4687","153280.49"
"212","Customer 4932","153276.71"
"213","Customer 4188","153270.78"
"214","Customer 6545","153160.46"
"215","Customer 7307","153122.02"
"216","Customer 9301","153101.88"
"217","Customer 9175","153026.02"
"218","Customer 1394","152798.98"
"219","Customer 5345","152782.92"
"220","Customer 5335","152550.20"
"221","Customer 1383","152534.01"
"222","Customer 6614","152492.89"
"223","Customer 6723","152387.24"
"224","Customer 9378","152320.27"
"225","Customer 9975","152194.98"
"226","Customer 264","152098.99"
"227","Customer 7233","151997.68"
"228","Customer 6961","151923.05"
"229","Customer 3078","151869.03"
"230","Customer 8996","151747.42"
"231","Customer 3552","151713.25"
"232","Customer 5679","151679.35"
"233","Customer 1","151536.64"
"234","Customer 1434","151509.12"
"235","Customer 9940","151493.87"
"236","Customer 2790","151420.92"
"237","Customer 6817","151358.19"
"238","Customer 7794","151337.56"
"239","Customer 3218","151302.83"
"240","Customer 5562","151277.72"
"241","Customer 3234","151234.59"
"242","Customer 4720","151178.31"
"243","Customer 7959","151102.45"
"244","Customer 1128","151002.47"
"245","Customer 1817","150935.19"
"246","Customer 109","150917.75"
"247","Customer 6773","150644.22"
"248","Customer 5640","150622.76"
"249","Customer 8501","150584.27"
"250","Customer 7737","150583.69"
"251","Customer 5417","150582.54"
"252","Customer 7394","150552.00"
"253","Customer 2563","150468.58"
"254","Customer 5787","150299.32"
"255","Customer 6493","150293.76"
"256","Customer 3658","150281.81"
"257","Customer 8924","150221.17"
"258","Customer 2812","149803.94"
"259","Customer 7297","149769.34"
"260","Customer 3463","149759.52"
"261","Customer 2995","149663.21"
"262","Customer 4581","149573.64"
"263","Customer 2833","149488.08"
"264","Customer 247","149443.10"
"265","Customer 9402","149387.21"
"266","Customer 6071","149345.18"
"267","Customer 11","149324.46"
"268","Customer 6252","149307.54"
"269","Customer 8832","149271.35"
"270","Customer 5381","149268.69"
"271","Customer 7415","149085.68"
"272","Customer 8417","149076.86"
"273","Customer 784","148951.28"
"274","Customer 1728","148877.57"
"275","Customer 2271","148843.04"
"276","Customer 7613","148793.20"
"277","Customer 5055","148779.63"
"278","Customer 5675","148743.30"
"279","Customer 9653","148725.35"
"280","Customer 1049","148724.62"
"281","Customer 4428","148718.38"
"282","Customer 4878","148676.75"
"283","Customer 4608","148651.46"
"284","Customer 7891","148557.31"
"285","Customer 9713","148530.34"
"286","Customer 258","148348.14"
"287","Customer 2066","148340.79"
"288","Customer 8057","148269.24"
"289","Customer 6052","148026.70"
"290","Customer 200","147979.71"
"291","Customer 9552","147938.83"
"292","Customer 8432","147899.56"
"293","Customer 1853","147845.77"
"294","Customer 8866","147831.77"
"295","Customer 6406","147710.61"
"296","Customer 8108","147628.88"
"297","Customer 5771","147628.33"
"298","Customer 7922","147562.04"
"299","Customer 1903","147416.84"
"300","Customer 9541","147247.34"
"301","Customer 6121","147145.04"
"302","Customer 7335","147144.46"
"303","Customer 4192","147056.77"
"304","Customer 7875","146973.80"
"305","Customer 6313","146951.07"
"306","Customer 871","146920.42"
"307","Customer 3500","146830.69"
"308","Customer 2749","146815.17"
"309","Customer 844","146785.79"
"310","Customer 7947","146718.31"
"311","Customer 7727","146688.84"
"312","Customer 1281","146539.16"
"313","Customer 3977","146508.81"
"314","Customer 1651","146500.46"
"315","Customer 1576","146464.09"
"316","Customer 259","146436.86"
"317","Customer 1419","146427.34"
"318","Customer 1428","146232.22"
"319","Customer 6234","146193.51"
"320","Customer 1246","146134.88"
"321","Customer 80","146096.46"
"322","Customer 7266","146090.51"
"323","Customer 559","146059.05"
"324","Customer 8556","146007.10"
"325","Customer 8436","145959.69"
"326","Customer 7257","145919.44"
"327","Customer 2980","145919.01"
"328","Customer 9564","145849.11"
"329","Customer 3521","145834.10"
"330","Customer 3012","145704.19"
"331","Customer 7978","145683.32"
"332","Customer 6949","145563.90"
"333","Customer 6349","145482.69"
"334","Customer 1098","145442.22"
"335","Customer 6445","145266.19"
"336","Customer 613","145264.85"
"337","Customer 7707","145239.84"
"338","Customer 1928","145095.27"
"339","Customer 8208","145014.74"
"340","Customer 3650","144896.10"
"341","Customer 4751","144884.77"
"342","Customer 4663","144841.14"
"343","Customer 8917","144795.47"
"344","Customer 1643","144469.95"
"345","Customer 9913","144258.01"
"346","Customer 6568","144226.55"
"347","Customer 7932","144132.48"
"348","Customer 2027","143983.31"
"349","Customer 3763","143967.21"
"350","Customer 915","143960.29"
"351","Customer 2390","143879.01"
"352","Customer 4378","143750.15"
"353","Customer 3639","143717.97"
"354","Customer 8986","143630.89"
"355","Customer 1734","143504.14"
"356","Customer 749","143430.80"
"357","Customer 4320","143428.43"
"358","Customer 5315","143391.58"
"359","Customer 9616","143362.60"
"360","Customer 7287","143266.75"
"361","Customer 2070","143142.04"
"362","Customer 7524","143011.47"
"363","Customer 3588","142940.30"
"364","Customer 5641","142894.97"
"365","Customer 369","142855.99"
"366","Customer 3784","142836.48"
"367","Customer 9426","142804.18"
"368","Customer 7301","142773.38"
"369","Customer 7464","142689.12"
"370","Customer 7426","142662.91"
"371","Customer 2145","142631.88"
"372","Customer 8263","142606.84"
"373","Customer 787","142598.03"
"374","Customer 2810","142585.56"
"375","Customer 9573","142557.58"
"376","Customer 1725","142546.24"
"377","Customer 1831","142496.41"
"378","Customer 5329","142493.24"
"379","Customer 6683","142470.99"
"380","Customer 4851","142468.14"
"381","Customer 2327","142451.79"
"382","Customer 3664","142400.85"
"383","Customer 1824","142381.29"
"384","Customer 4525","142357.18"
"385","Customer 4333","142343.38"
"386","Customer 9108","142326.26"
"387","Customer 646","142291.05"
"388","Customer 3152","142176.61"
"389","Customer 4319","142145.39"
"390","Customer 2122","142133.81"
"391","Customer 7522","142036.78"
"392","Customer 2632","141971.05"
"393","Customer 4401","141960.41"
"394","Customer 6624","141811.68"
"395","Customer 3711","141775.23"
"396","Customer 1909","141765.92"
"397","Customer 8269","141706.63"
"398","Customer 4412","141561.96"
"399","Customer 3705","141528.94"
"400","Customer 2504","141501.54"
"401","Customer 3794","141416.55"
"402","Customer 3476","141318.55"
"403","Customer 6037","141317.09"
"404","Customer 4510","141249.10"
"405","Customer 6574","141104.51"
"406","Customer 8873","141049.61"
"407","Customer 5231","141048.72"
"408","Customer 4397","141023.18"
"409","Customer 9627","141019.06"
"410","Customer 6247","140987.69"
"411","Customer 1441","140985.37"
"412","Customer 4455","140981.65"
"413","Customer 7479","140895.73"
"414","Customer 4311","140800.05"
"415","Customer 9614","140787.50"
"416","Customer 5658","140727.29"
"417","Customer 9508","140619.76"
"418","Customer 8808","140455.86"
"419","Customer 7681","140427.60"
"420","Customer 592","140404.49"
"421","Customer 8100","140331.60"
"422","Customer 5140","140232.94"
"423","Customer 1490","140225.19"
"424","Customer 3756","140196.14"
"425","Customer 703","140112.74"
"426","Customer 4729","140020.06"
"427","Customer 1581","139979.46"
"428","Customer 769","139951.30"
"429","Customer 8387","139933.91"
"430","Customer 1153","139917.52"
"431","Customer 2083","139817.15"
"432","Customer 3674","139775.46"
"433","Customer 6539","139738.14"
"434","Customer 6682","139724.85"
"435","Customer 899","139650.87"
"436","Customer 6803","139615.58"
"437","Customer 6735","139611.88"
"438","Customer 1832","139556.48"
"439","Customer 8383","139551.57"
"440","Customer 7219","139516.87"
"441","Customer 3926","139448.32"
"442","Customer 7910","139260.17"
"443","Customer 5625","139240.48"
"444","Customer 9505","139219.02"
"445","Customer 9383","139187.95"
"446","Customer 8619","139152.36"
"447","Customer 2018","139104.67"
"448","Customer 3108","139103.79"
"449","Customer 4645","139095.33"
"450","Customer 4745","139056.94"
"451","Customer 5253","139046.63"
"452","Customer 621","138947.22"
"453","Customer 1744","138872.48"
"454","Customer 1309","138816.36"
"455","Customer 883","138747.99"
"456","Customer 2887","138739.51"
"457","Customer 7523","138694.87"
"458","Customer 3835","138634.75"
"459","Customer 6513","138605.96"
"460","Customer 824","138592.78"
"461","Customer 7214","138566.55"
"462","Customer 6334","138522.17"
"463","Customer 5003","138447.36"
"464","Customer 7620","138433.82"
"465","Customer 8160","138324.06"
"466","Customer 4743","138204.86"
"467","Customer 96","138163.89"
"468","Customer 7329","138051.04"
"469","Customer 9779","138043.77"
"470","Customer 377","137999.28"
"471","Customer 1686","137908.24"
"472","Customer 5892","137854.27"
"473","Customer 6044","137845.64"
"474","Customer 5689","137796.48"
"475","Customer 5239","137734.86"
"476","Customer 1465","137734.13"
"477","Customer 4526","137705.58"
"478","Customer 900","137588.68"
"479","Customer 4078","137583.79"
"480","Customer 849","137568.50"
"481","Customer 53","137539.89"
"482","Customer 627","137297.63"
"483","Customer 8726","137261.41"
"484","Customer 6685","137137.31"
"485","Customer 9126","137066.19"
"486","Customer 8102","137044.30"
"487","Customer 2744","137008.86"
"488","Customer 8688","136987.24"
"489","Customer 8587","136973.58"
"490","Customer 3993","136884.78"
"491","Customer 1818","136840.48"
"492","Customer 7148","136799.05"
"493","Customer 2057","136738.67"
"494","Customer 2016","136707.22"
"495","Customer 472","136699.63"
"496","Customer 1616","136681.26"
"497","Customer 9686","136680.89"
"498","Customer 9757","136670.51"
"499","Customer 6035","136662.69"
"500","Customer 4767","136602.64"
"501","Customer 771","136567.15"
"502","Customer 9780","136561.89"
"503","Customer 9740","136556.58"
"504","Customer 5440","136544.25"
"505","Customer 2890","136430.06"
"506","Customer 6763","136404.63"
"507","Customer 9804","136312.87"
"508","Customer 8565","136278.53"
"509","Customer 1891","136270.65"
"510","Customer 7376","136177.89"
"511","Customer 6048","136170.03"
"512","Customer 7916","135969.40"
"513","Customer 5810","135947.46"
"514","Customer 5634","135941.29"
"515","Customer 1144","135869.05"
"516","Customer 8773","135797.95"
"517","Customer 386","135777.76"
"518","Customer 4861","135743.39"
"519","Customer 4433","135713.55"
"520","Customer 2342","135673.36"
"521","Customer 2736","135639.85"
"522","Customer 4059","135581.71"
"523","Customer 3832","135580.54"
"524","Customer 6276","135561.37"
"525","Customer 497","135543.07"
"526","Customer 7808","135508.82"
"527","Customer 1454","135498.20"
"528","Customer 2076","135468.25"
"529","Customer 9602","135106.51"
"530","Customer 7748","135101.57"
"531","Customer 7818","135055.22"
"532","Customer 5934","135045.48"
"533","Customer 1396","134979.54"
"534","Customer 2092","134975.27"
"535","Customer 7203","134937.31"
"536","Customer 6704","134894.00"
"537","Customer 8337","134858.18"
"538","Customer 8493","134816.47"
"539","Customer 5862","134807.82"
"540","Customer 758","134792.73"
"541","Customer 9325","134734.61"
"542","Customer 1445","134726.60"
"543","Customer 5240","134620.48"
"544","Customer 480","134617.59"
"545","Customer 3857","134595.24"
"546","Customer 2150","134548.14"
"547","Customer 6626","134514.05"
"548","Customer 6780","134504.35"
"549","Customer 9489","134392.04"
"550","Customer 8219","134345.96"
"551","Customer 442","134342.28"
"552","Customer 4714","134320.01"
"553","Customer 9320","134242.45"
"554","Customer 8649","134163.29"
"555","Customer 4632","134146.71"
"556","Customer 8794","134105.17"
"557","Customer 7003","134080.69"
"558","Customer 5201","133981.80"
"559","Customer 3261","133945.78"
"560","Customer 4853","133945.23"
"561","Customer 1639","133916.56"
"562","Customer 1343","133887.98"
"563","Customer 4605","133797.56"
"564","Customer 3302","133792.62"
"565","Customer 9610","133722.86"
"566","Customer 9860","133669.10"
"567","Customer 6666","133565.30"
"568","Customer 2231","133505.23"
"569","Customer 2703","133386.43"
"570","Customer 1241","133362.48"
"571","Customer 4112","133360.68"
"572","Customer 4045","133309.01"
"573","Customer 2276","133303.38"
"574","Customer 5979","133288.14"
"575","Customer 7052","133272.53"
"576","Customer 7551","133261.92"
"577","Customer 6592","133248.83"
"578","Customer 7869","133196.43"
"579","Customer 9965","133182.20"
"580","Customer 7826","133174.47"
"581","Customer 5162","133139.65"
"582","Customer 6034","133094.83"
"583","Customer 9299","133045.16"
"584","Customer 6815","133005.61"
"585","Customer 5214","132994.95"
"586","Customer 7892","132979.31"
"587","Customer 696","132921.86"
"588","Customer 5238","132909.81"
"589","Customer 2293","132891.04"
"590","Customer 5463","132884.57"
"591","Customer 6864","132836.02"
"592","Customer 1438","132830.24"
"593","Customer 4562","132820.32"
"594","Customer 8449","132810.84"
"595","Customer 8275","132804.28"
"596","Customer 1159","132793.13"
"597","Customer 3230","132761.79"
"598","Customer 2994","132745.79"
"599","Customer 1994","132738.09"
"600","Customer 1597","132552.53"
"601","Customer 2802","132483.94"
"602","Customer 3706","132469.95"
"603","Customer 6550","132458.79"
"604","Customer 7842","132407.00"
"605","Customer 5687","132395.03"
"606","Customer 5392","132375.41"
"607","Customer 7622","132373.11"
"608","Customer 6075","132361.58"
"609","Customer 9624","132312.83"
"610","Customer 7647","132295.74"
"611","Customer 8348","132244.71"
"612","Customer 203","132229.09"
"613","Customer 6526","132149.78"
"614","Customer 8934","132130.74"
"615","Customer 3040","131977.70"
"616","Customer 6338","131875.00"
"617","Customer 2723","131789.20"
"618","Customer 3874","131736.32"
"619","Customer 156","131722.50"
"620","Customer 7790","131653.03"
"621","Customer 8895","131626.25"
"622","Customer 4245","131624.18"
"623","Customer 5694","131618.88"
"624","Customer 1349","131611.56"
"625","Customer 1532","131568.82"
"626","Customer 7107","131566.11"
"627","Customer 3672","131447.92"
"628","Customer 8819","131335.70"
"629","Customer 1495","131307.46"
"630","Customer 8465","131302.90"
"631","Customer 9770","131296.08"
"632","Customer 8455","131280.23"
"633","Customer 3379","131231.48"
"634","Customer 9286","131181.04"
"635","Customer 7423","131177.28"
"636","Customer 5480","131151.65"
"637","Customer 9695","131131.82"
"638","Customer 6649","131125.08"
"639","Customer 1350","131109.74"
"640","Customer 8452","131099.86"
"641","Customer 3457","131092.61"
"642","Customer 7533","131052.36"
"643","Customer 2553","131024.39"
"644","Customer 4829","131019.69"
"645","Customer 5453","131010.34"
"646","Customer 2277","130985.05"
"647","Customer 2052","130983.17"
"648","Customer 9057","130977.70"
"649","Customer 4033","130943.13"
"650","Customer 3451","130878.31"
"651","Customer 4945","130860.23"
"652","Customer 6429","130737.06"
"653","Customer 2633","130737.03"
"654","Customer 9800","130725.92"
"655","Customer 5462","130714.59"
"656","Customer 4637","130665.40"
"657","Customer 6500","130615.03"
"658","Customer 9346","130512.22"
"659","Customer 4863","130510.57"
"660","Customer 8592","130502.43"
"661","Customer 1115","130461.06"
"662","Customer 6223","130448.78"
"663","Customer 4134","130448.18"
"664","Customer 4703","130420.29"
"665","Customer 6443","130353.94"
"666","Customer 2465","130279.00"
"667","Customer 8253","130239.48"
"668","Customer 6843","130174.18"
"669","Customer 346","130169.61"
"670","Customer 809","130164.89"
"671","Customer 2032","130039.05"
"672","Customer 5803","130033.51"
"673","Customer 1460","130022.91"
"674","Customer 2313","130013.15"
"675","Customer 3785","129969.42"
"676","Customer 4044","129892.57"
"677","Customer 2424","129881.64"
"678","Customer 8522","129879.75"
"679","Customer 41","129875.20"
"680","Customer 947","129857.39"
"681","Customer 3210","129816.39"
"682","Customer 1471","129811.94"
"683","Customer 8777","129751.79"
"684","Customer 6055","129707.69"
"685","Customer 1227","129622.47"
"686","Customer 681","129525.68"
"687","Customer 5227","129518.32"
"688","Customer 4776","129484.79"
"689","Customer 4758","129484.63"
"690","Customer 5258","129410.51"
"691","Customer 8182","129357.30"
"692","Customer 1905","129290.48"
"693","Customer 9901","129232.30"
"694","Customer 597","129195.56"
"695","Customer 8382","129174.74"
"696","Customer 5111","129116.15"
"697","Customer 1882","129102.11"
"698","Customer 8614","129086.21"
"699","Customer 2770","129048.22"
"700","Customer 762","129005.81"
"701","Customer 7098","128997.39"
"702","Customer 6871","128983.11"
"703","Customer 5763","128906.65"
"704","Customer 5172","128851.51"
"705","Customer 2949","128849.35"
"706","Customer 8496","128841.51"
"707","Customer 3239","128825.46"
"708","Customer 9386","128806.54"
"709","Customer 9124","128693.08"
"710","Customer 9592","128692.97"
"711","Customer 3773","128609.08"
"712","Customer 6650","128583.58"
"713","Customer 5152","128568.00"
"714","Customer 3191","128533.86"
"715","Customer 4470","128525.03"
"716","Customer 7014","128496.47"
"717","Customer 2756","128472.61"
"718","Customer 2178","128455.49"
"719","Customer 8519","128438.82"
"720","Customer 1755","128393.08"
"721","Customer 2058","128358.55"
"722","Customer 9675","128355.08"
"723","Customer 9015","128347.72"
"724","Customer 9961","128301.93"
"725","Customer 6829","128289.77"
"726","Customer 540","128234.49"
"727","Customer 5830","128181.82"
"728","Customer 3894","128176.22"
"729","Customer 9181","128167.28"
"730","Customer 8552","128166.92"
"731","Customer 9245","128160.91"
"732","Customer 6893","128150.12"
"733","Customer 3132","128128.17"
"734","Customer 8902","128115.14"
"735","Customer 7440","128098.06"
"736","Customer 3070","128094.75"
"737","Customer 2950","128078.37"
"738","Customer 590","128058.47"
"739","Customer 2355","128021.69"
"740","Customer 5853","127927.25"
"741","Customer 3640","127848.17"
"742","Customer 4975","127848.10"
"743","Customer 4673","127813.44"
"744","Customer 2731","127801.47"
"745","Customer 9954","127799.53"
"746","Customer 2884","127774.48"
"747","Customer 1264","127774.18"
"748","Customer 3893","127771.71"
"749","Customer 124","127766.22"
"750","Customer 5414","127759.82"
"751","Customer 360","127749.35"
"752","Customer 2064","127724.76"
"753","Customer 8153","127716.70"
"754","Customer 8952","127679.62"
"755","Customer 3967","127669.50"
"756","Customer 5008","127660.60"
"757","Customer 2709","127512.65"
"758","Customer 3115","127487.71"
"759","Customer 1770","127484.62"
"760","Customer 8761","127475.10"
"761","Customer 7191","127443.04"
"762","Customer 5066","127430.67"
"763","Customer 1358","127389.89"
"764","Customer 4660","127383.99"
"765","Customer 9873","127363.06"
"766","Customer 9650","127345.74"
"767","Customer 7456","127334.14"
"768","Customer 3186","127297.46"
"769","Customer 6834","127221.83"
"770","Customer 3837","127167.53"
"771","Customer 7928","127155.01"
"772","Customer 9283","127000.43"
"773","Customer 7984","126995.19"
"774","Customer 5037","126970.75"
"775","Customer 4180","126964.99"
"776","Customer 1676","126956.67"
"777","Customer 8083","126910.37"
"778","Customer 575","126901.13"
"779","Customer 1613","126890.93"
"780","Customer 6968","126864.71"
"781","Customer 6721","126850.44"
"782","Customer 6421","126841.57"
"783","Customer 3414","126758.46"
"784","Customer 3080","126729.86"
"785","Customer 485","126645.84"
"786","Customer 9840","126630.81"
"787","Customer 735","126613.49"
"788","Customer 7451","126547.53"
"789","Customer 5517","126523.72"
"790","Customer 1259","126475.46"
"791","Customer 9495","126470.38"
"792","Customer 9086","126419.90"
"793","Customer 9951","126404.25"
"794","Customer 3211","126394.80"
"795","Customer 7010","126378.54"
"796","Customer 8585","126352.19"
"797","Customer 7540","126336.70"
"798","Customer 5766","126307.93"
"799","Customer 4606","126284.11"
"800","Customer 5818","126267.11"
"801","Customer 3600","126247.63"
"802","Customer 4019","126247.25"
"803","Customer 6461","126243.38"
"804","Customer 692","126236.91"
"805","Customer 4537","126229.22"
"806","Customer 7923","126220.43"
"807","Customer 14","126218.19"
"808","Customer 6091","126174.89"
"809","Customer 4583","126174.18"
"810","Customer 8117","126161.26"
"811","Customer 2476","126113.54"
"812","Customer 7881","126110.42"
"813","Customer 2836","126101.80"
"814","Customer 7316","126059.42"
"815","Customer 7445","126019.58"
"816","Customer 1111","126018.60"
"817","Customer 7887","125972.38"
"818","Customer 12","125954.04"
"819","Customer 2069","125935.56"
"820","Customer 4618","125858.36"
"821","Customer 7080","125854.63"
"822","Customer 1998","125852.31"
"823","Customer 2562","125848.58"
"824","Customer 4935","125840.58"
"825","Customer 8919","125798.57"
"826","Customer 8795","125783.15"
"827","Customer 5570","125712.64"
"828","Customer 4298","125687.76"
"829","Customer 5559","125678.76"
"830","Customer 4079","125657.02"
"831","Customer 13","125511.50"
"832","Customer 4440","125491.78"
"833","Customer 8299","125484.07"
"834","Customer 8411","125482.56"
"835","Customer 5178","125463.96"
"836","Customer 4328","125458.66"
"837","Customer 2712","125445.50"
"838","Customer 9063","125419.83"
"839","Customer 676","125414.35"
"840","Customer 4199","125390.28"
"841","Customer 6839","125380.31"
"842","Customer 2062","125379.95"
"843","Customer 8849","125376.27"
"844","Customer 397","125333.47"
"845","Customer 1161","125321.47"
"846","Customer 6895","125253.28"
"847","Customer 2084","125172.79"
"848","Customer 2947","125128.84"
"849","Customer 4164","125119.32"
"850","Customer 6989","125107.41"
"851","Customer 9597","125097.35"
"852","Customer 9692","125081.25"
"853","Customer 7649","125056.88"
"854","Customer 4166","125020.03"
"855","Customer 361","124995.21"
"856","Customer 1936","124977.76"
"857","Customer 4295","124955.27"
"858","Customer 2649","124951.67"
"859","Customer 958","124946.97"
"860","Customer 8793","124927.13"
"861","Customer 7541","124890.50"
"862","Customer 3864","124857.61"
"863","Customer 9558","124850.71"
"864","Customer 4540","124835.37"
"865","Customer 9682","124830.68"
"866","Customer 3655","124796.90"
"867","Customer 186","124777.50"
"868","Customer 555","124751.18"
"869","Customer 4372","124744.24"
"870","Customer 839","124711.28"
"871","Customer 2113","124682.01"
"872","Customer 6283","124627.08"
"873","Customer 8272","124619.13"
"874","Customer 5725","124614.66"
"875","Customer 524","124605.01"
"876","Customer 3572","124590.16"
"877","Customer 2298","124579.45"
"878","Customer 5541","124562.53"
